image_id,status,ocr_tokens,corrector_edits,predicted_tuples,clf_nutrient,clf_quantity,clf_unit,clf_context,clf_via_embedding,vlm_backend,vlm_original_width,vlm_original_height,vlm_width,vlm_height,vlm_image_path,vlm_time_s,vlm_attempts,vlm_last_error,total_processing_time_s,error
1.png,ok,15,5,5,6,5,5,1,9,openai_compat,2682,1600,896,535,outputs\vlm_lmstudio_vGemma3_7++\vlm_resized_images\1_vlm_896x535.jpg,14.06,1,,20.255,
2.png,ok,23,8,14,8,12,8,2,8,openai_compat,2930,1440,896,440,outputs\vlm_lmstudio_vGemma3_7++\vlm_resized_images\2_vlm_896x440.jpg,23.56,1,,26.136,
4.png,ok,100,26,6,38,5,5,1,84,openai_compat,4396,960,896,196,outputs\vlm_lmstudio_vGemma3_7++\vlm_resized_images\4_vlm_896x196.jpg,16.13,1,,23.995,
6.png,ok,15,8,6,6,6,6,1,8,openai_compat,2572,1632,896,569,outputs\vlm_lmstudio_vGemma3_7++\vlm_resized_images\6_vlm_896x569.jpg,11.66,1,,13.661,
8.png,ok,18,3,8,9,6,3,2,10,openai_compat,2098,2048,896,875,outputs\vlm_lmstudio_vGemma3_7++\vlm_resized_images\8_vlm_896x875.jpg,14.53,1,,16.783,
9.jpeg,ok,12,3,4,7,3,3,2,7,openai_compat,325,92,325,92,outputs\vlm_lmstudio_vGemma3_7++\vlm_resized_images\9_vlm_325x92.jpg,10.22,1,,12.095,
12.png,ok,33,18,10,10,17,17,2,13,openai_compat,1536,1024,896,597,outputs\vlm_lmstudio_vGemma3_7++\vlm_resized_images\12_vlm_896x597.jpg,25.12,1,,29.294,
15.png,ok,13,4,7,5,0,0,2,9,openai_compat,3098,1376,896,398,outputs\vlm_lmstudio_vGemma3_7++\vlm_resized_images\15_vlm_896x398.jpg,13.58,1,,18.237,
17.png,ok,15,4,4,4,7,4,1,6,openai_compat,2704,1568,896,520,outputs\vlm_lmstudio_vGemma3_7++\vlm_resized_images\17_vlm_896x520.jpg,10.86,1,,13.118,
20.png,ok,116,45,42,28,49,41,3,41,openai_compat,2270,1888,896,745,outputs\vlm_lmstudio_vGemma3_7++\vlm_resized_images\20_vlm_896x745.jpg,98.07,1,,106.46,
26.png,ok,19,7,6,7,7,6,1,11,openai_compat,1536,1024,896,597,outputs\vlm_lmstudio_vGemma3_7++\vlm_resized_images\26_vlm_896x597.jpg,12.45,1,,14.908,
